Class Name,Ages,Class Start Time,Length of Class,Day,Description,Max Capacity,Year Tuition,Month Tuition,Supply Fee,Classroom,Teacher,Image
3D Modeling & Printing,11+,2:00 PM,1 hour,Tuesday,"Design fantasy props, structures, symbols, and game assets for immersive stories and shared adventures. Learn digital modeling and creative design.",10,365,38.5,$35,Teen Large,Xavier,
American History Doll Club,8-12,2:00 PM,1 hour,Tuesday,"Travel through American history one doll at a time! Each semester we'll journey alongside two beloved historical girls as the teacher brings their stories to life through engaging read-alouds. Students will create authentic doll clothing and accessories, complete hands-on historical projects, and collect keepsake passport pages as they discover what life was really like long ago. Supply fee includes an 18"" doll.",12,365,38.5,$70,Art Classroom,Emerson,
Art Expeditions,5-8,9:30 AM,1 hour,Tuesday,"Young artists, get ready to create something new every week! From painting and stamping to sculpting and collage, this class is all about exploring different art materials and techniques in fun, hands-on ways.",12,365,38.5,$15,Elem 3,Hollie,
Art Expeditions,8-12,10:30 AM,1 hour,Tuesday,"Young artists, get ready to create something new every week! From painting and stamping to sculpting and collage, this class is all about exploring different art materials and techniques in fun, hands-on ways.",12,365,38.5,$15,Elem 3,Hollie,
Body Science: Health & Wellness Lab,14+,2:00 PM,1 hour,Thursday,"Understand the science behind how biology, brain function, environment, and habits influence human health, resilience, and performance.",12,365,38.5,,Teen 2,Viviana,
Brain Games,5-7,10:30 AM,1 hour,Tuesday,"Strengthen your brain while having a blast! Through movement, puzzles, games, coordination challenges, and hands-on activities, students will develop memory, focus, problem-solving, balance, and thinking skills. Each class combines fun brain-training exercises with whole-body movement to strengthen the connections between the brain and body while building confidence and a love of learning.",12,365,38.5,,Theater Large,Teacher C,
Brain Games,8-11,10:30 AM,1 hour,Thursday,"Challenge your brain in exciting new ways! Students will improve memory, focus, problem-solving, coordination, and critical thinking through brain games, strategy challenges, movement activities, and teamwork. By combining mental exercises with whole-body movement, students strengthen both mind and body while learning skills that support success in every subject.",12,365,38.5,,Theater Stage,Teacher C,
Building America,8-12,9:30 AM,1 hour,Tuesday,"History comes alive one project at a time! Each week students explore an important event, invention, or historical figure from American history while building a hands-on project connected to the lesson. Through creativity, engineering, storytelling, and discussion, students gain a deeper appreciation for the people and ideas that helped shape our nation.",12,365,38.5,$25,Elem 2,Teacher A,
Building America,8-12,1:00 PM,1 hour,Thursday,"History comes alive one project at a time! Each week students explore an important event, invention, or historical figure from American history while building a hands-on project connected to the lesson. Through creativity, engineering, storytelling, and discussion, students gain a deeper appreciation for the people and ideas that helped shape our nation.",12,365,38.5,$25,Art Classroom,Emerson,
Chef Lab: Culinary Science,14+,1:00 PM,2 hours,Tuesday,"From stovetop to toaster oven, this class will teach students the essential skills they need to feel confident in the kitchen, trying simple, tasty recipes while learning kitchen safety, measuring, and prepping.",10,660,70,$100,Break Room,Ashley,
Choir,5-9,9:30 AM,1 hour,Tuesday & Thursday,"Come discover the joy of singing! Students will learn healthy vocal techniques, rhythm, pitch, and basic music skills while singing fun songs together. Through games, movement, and group performances, children will build confidence, teamwork, and a lifelong love of music.",12,365,38.5,,Theater Stage,Cassie,
Cooking for Kids,8-12,11:30 AM,1 hour,Tuesday,"Young chefs will build confidence in the kitchen while learning practical cooking skills they can use for life. Each class includes preparing a simple recipe, practicing kitchen safety, measuring ingredients, following directions, and cleaning up together. Students will enjoy tasting their creations while developing independence and responsibility.",10,365,38.5,$65,Break Room,Ashley,
